Nombre,CÃ³digo,Localidad
PASEO DE LOS LIBERTADORES,1,__export__.base_localidad_1_23c06608
VERBENAL,9,__export__.base_localidad_1_23c06608
LA URIBE,10,__export__.base_localidad_1_23c06608
SAN CRISTOBAL NORTE,11,__export__.base_localidad_1_23c06608
TOBERIN,12,__export__.base_localidad_1_23c06608
LOS CEDROS,13,__export__.base_localidad_1_23c06608
USAQUEN,14,__export__.base_localidad_1_23c06608
COUNTRY CLUB,15,__export__.base_localidad_1_23c06608
SANTA BARBARA,16,__export__.base_localidad_1_23c06608
EL REFUGIO,88,__export__.base_localidad_2_80063b44
SAN ISIDRO - PATIOS,89,__export__.base_localidad_2_80063b44
PARDO RUBIO,90,__export__.base_localidad_2_80063b44
CHICO LAGO,97,__export__.base_localidad_2_80063b44
CHAPINERO,99,__export__.base_localidad_2_80063b44
SAGRADO CORAZON,91,__export__.base_localidad_3_954a55e5
LA MACARENA,92,__export__.base_localidad_3_954a55e5
LAS NIEVES,93,__export__.base_localidad_3_954a55e5
LAS CRUCES,95,__export__.base_localidad_3_954a55e5
LOURDES,96,__export__.base_localidad_3_954a55e5
SAN BLAS,32,__export__.base_localidad_4_3203e9bb
SOSIEGO,33,__export__.base_localidad_4_3203e9bb
20 DE JULIO,34,__export__.base_localidad_4_3203e9bb
LA GLORIA,50,__export__.base_localidad_4_3203e9bb
LOS LIBERTADORES,51,__export__.base_localidad_4_3203e9bb
LA FLORA,52,__export__.base_localidad_5_9675e805
DANUBIO,56,__export__.base_localidad_5_9675e805
GRAN YOMASA,57,__export__.base_localidad_5_9675e805
COMUNEROS,58,__export__.base_localidad_5_9675e805
ALFONSO LOPEZ,59,__export__.base_localidad_5_9675e805
PARQUE ENTRENUBES,60,__export__.base_localidad_5_9675e805
CIUDAD USME,61,__export__.base_localidad_5_9675e805
VENECIA,42,__export__.base_localidad_6_7490326d
TUNJUELITO,62,__export__.base_localidad_6_7490326d
APOGEO,49,__export__.base_localidad_7_f6661028
BOSA OCCIDENTAL,84,__export__.base_localidad_7_f6661028
BOSA CENTRAL,85,__export__.base_localidad_7_f6661028
EL PORVENIR,86,__export__.base_localidad_7_f6661028
TINTAL SUR,87,__export__.base_localidad_7_f6661028
AMERICAS,44,__export__.base_localidad_8_53cfb183
CARVAJAL,45,__export__.base_localidad_8_53cfb183
CASTILLA,46,__export__.base_localidad_8_53cfb183
KENNEDY CENTRAL,47,__export__.base_localidad_8_53cfb183
TIMIZA,48,__export__.base_localidad_8_53cfb183
TINTAL NORTE,78,__export__.base_localidad_8_53cfb183
CALANDAIMA,79,__export__.base_localidad_8_53cfb183
CORABASTOS,80,__export__.base_localidad_8_53cfb183
GRAN BRITALIA,81,__export__.base_localidad_8_53cfb183
PATIO BONITO,82,__export__.base_localidad_8_53cfb183
LAS MARGARITAS,83,__export__.base_localidad_8_53cfb183
BAVARIA,113,__export__.base_localidad_8_53cfb183
FONTIBON,75,__export__.base_localidad_9_bf4639d4
FONTIBON SAN PABLO,76,__export__.base_localidad_9_bf4639d4
ZONA FRANCA,77,__export__.base_localidad_9_bf4639d4
CIUDAD SALITRE OCCIDENTAL,110,__export__.base_localidad_9_bf4639d4
GRANJAS DE TECHO,112,__export__.base_localidad_9_bf4639d4
MODELIA,114,__export__.base_localidad_9_bf4639d4
CAPELLANIA,115,__export__.base_localidad_9_bf4639d4
AEROPUERTO EL DORADO,117,__export__.base_localidad_9_bf4639d4
LAS FERIAS,26,__export__.base_localidad_10_fb46d344
MINUTO DE DIOS,29,__export__.base_localidad_10_fb46d344
BOYACA REAL,30,__export__.base_localidad_10_fb46d344
SANTA CECILIA,31,__export__.base_localidad_10_fb46d344
BOLIVIA,72,__export__.base_localidad_10_fb46d344
GARCES NAVAS,73,__export__.base_localidad_10_fb46d344
ENGATIVA,74,__export__.base_localidad_10_fb46d344
JARDIN BOTANICO,105,__export__.base_localidad_10_fb46d344
ALAMOS,116,__export__.base_localidad_10_fb46d344
LA ACADEMIA,2,__export__.base_localidad_11_f7d1e2b4
GUAYMARAL,3,__export__.base_localidad_11_f7d1e2b4
SAN JOSE DE BAVARIA,17,__export__.base_localidad_11_f7d1e2b4
BRITALIA,18,__export__.base_localidad_11_f7d1e2b4
EL PRADO,19,__export__.base_localidad_11_f7d1e2b4
LA ALHAMBRA,20,__export__.base_localidad_11_f7d1e2b4
CASA BLANCA SUBA,23,__export__.base_localidad_11_f7d1e2b4
NIZA,24,__export__.base_localidad_11_f7d1e2b4
LA FLORESTA,25,__export__.base_localidad_11_f7d1e2b4
SUBA,27,__export__.base_localidad_11_f7d1e2b4
EL RINCON,28,__export__.base_localidad_11_f7d1e2b4
TIBABUYES,71,__export__.base_localidad_11_f7d1e2b4
LOS ANDES,21,__export__.base_localidad_12_b58594f8
DOCE DE OCTUBRE,22,__export__.base_localidad_12_b58594f8
LOS ALCAZARES,98,__export__.base_localidad_12_b58594f8
PARQUE SALITRE,103,__export__.base_localidad_12_b58594f8
GALERIAS,100,__export__.base_localidad_13_e89dea2c
TEUSAQUILLO,101,__export__.base_localidad_13_e89dea2c
PARQUE SIMON BOLIVAR - CAN,104,__export__.base_localidad_13_e89dea2c
LA ESMERALDA,106,__export__.base_localidad_13_e89dea2c
QUINTA PAREDES,107,__export__.base_localidad_13_e89dea2c
CIUDAD SALITRE ORIENTAL,109,__export__.base_localidad_13_e89dea2c
SANTA ISABEL,37,__export__.base_localidad_14_cefaaf76
LA SABANA,102,__export__.base_localidad_14_cefaaf76
CIUDAD JARDIN,35,__export__.base_localidad_15_f0c5b220
RESTREPO,38,__export__.base_localidad_15_f0c5b220
CIUDAD MONTES,40,__export__.base_localidad_16_b5a55166
MUZU,41,__export__.base_localidad_16_b5a55166
SAN RAFAEL,43,__export__.base_localidad_16_b5a55166
ZONA INDUSTRIAL,108,__export__.base_localidad_16_b5a55166
PUENTE ARANDA,111,__export__.base_localidad_16_b5a55166
LA CANDELARIA,94,__export__.base_localidad_17_9a7986bd
SAN JOSE,36,__export__.base_localidad_18_161cf2d9
QUIROGA,39,__export__.base_localidad_18_161cf2d9
MARCO FIDEL SUAREZ,53,__export__.base_localidad_18_161cf2d9
MARRUECOS,54,__export__.base_localidad_18_161cf2d9
DIANA TURBAY,55,__export__.base_localidad_18_161cf2d9
EL MOCHUELO,63,__export__.base_localidad_19_63da7f20
MONTE BLANCO,64,__export__.base_localidad_19_63da7f20
ARBORIZADORA,65,__export__.base_localidad_19_63da7f20
SAN FRANCISCO,66,__export__.base_localidad_19_63da7f20
LUCERO,67,__export__.base_localidad_19_63da7f20
EL TESORO,68,__export__.base_localidad_19_63da7f20
ISMAEL PERDOMO,69,__export__.base_localidad_19_63da7f20
JERUSALEM,70,__export__.base_localidad_19_63da7f20
